id,episode_number,Title,season_number,season_title
437,438,Grovyle VS Tropius! Grass Field Battle!,9,Battle Frontier
438,439,Pokémon Contest! Yuzuhira Convention!,9,Battle Frontier
439,440,Sceptile! Dawn of Revival!,9,Battle Frontier
440,441,Fierce Fighting! Jungle Battle at the Battle Palace!,9,Battle Frontier
441,442,King Bonsly & Queen Mime Jr!,9,Battle Frontier
442,443,The Red Inazuma SkyScraper!,9,Battle Frontier
443,444,Decisive Game! May VS Brock!,9,Battle Frontier
444,445,Smoochum & The Three Jynx Sisters!,9,Battle Frontier
445,446,Salon Maiden Anabel Enters!,9,Battle Frontier
446,447,Battle Tower! Telepathy Battle!,9,Battle Frontier
447,448,Pokémon Ranger! Deoxys Crisis!,9,Battle Frontier
448,449,Sudowoodo! Legend of Gold!,9,Battle Frontier
449,450,Harley & Team Rocket! The Formation of the Villanious Alliance!,9,Battle Frontier
450,451,May VS Jessie! The Final Contest!,9,Battle Frontier
451,452,Team Rocket's Disbandment!? Respective Roads!,9,Battle Frontier
452,453,Brock & Ash! Defend Pewter Gym in Tag Battle!,9,Battle Frontier
453,454,Battle Pyramid! VS Regirock!,9,Battle Frontier
454,455,Marvel! Mountain of the Giant Slaking!,9,Battle Frontier
455,456,Begin! Pokémon Contest - Grand Festival!,9,Battle Frontier
456,457,May VS Harley! Double Battle On Stage!!,9,Battle Frontier
457,458,May VS Drew! The Final Battle!,9,Battle Frontier
458,459,Aipom & The King!,9,Battle Frontier
459,460,Chatot & The Pokémon Comedian!,9,Battle Frontier
460,461,Attack! The Stray Weavile!,9,Battle Frontier
461,462,Battle Pyramid Again! VS Registeel!,9,Battle Frontier
462,463,May VS Drew! Rivals Forever!,9,Battle Frontier
463,464,The Pokémon Center is Very Busy!,9,Battle Frontier
464,465,First Pokémon! Last Battle!,9,Battle Frontier
465,466,Deciding Match! VS Regice!,9,Battle Frontier
466,467,Ash VS May! The Last Battle!!,9,Battle Frontier
467,468,The End Of a Journey! The Start of A Journey!,9,Battle Frontier
468,469,Begin! From Twinleaf Town to Sandgem Town!,10,Diamond and Pearl
469,470,Find Pikachu! Route 202!,10,Diamond and Pearl
470,471,Rival Battle! 3 VS 3!,10,Diamond and Pearl
471,472,Piplup VS Budew! Dawn's First Battle!!,10,Diamond and Pearl
472,473,Get Turtwig!,10,Diamond and Pearl
473,474,Forest of Hesitation! Paul Again!!,10,Diamond and Pearl
474,475,Piplup Hangs On!!,10,Diamond and Pearl
475,476,Croagunk & The Mysterious Gym!!,10,Diamond and Pearl
476,477,Lets Play With Buneary!,10,Diamond and Pearl
477,478,Pokétch is Unavailable?!!,10,Diamond and Pearl
478,479,Dawn's Contest Debut!,10,Diamond and Pearl
479,480,Contest Battle! Rival Confrontation!!,10,Diamond and Pearl
480,481,Good Luck Starly!!,10,Diamond and Pearl
481,482,Leave it to Brock!!,10,Diamond and Pearl
482,483,Oreburgh Gym! Paul VS Roark!!,10,Diamond and Pearl
483,484,Cranidos VS Pikachu!,10,Diamond and Pearl
484,485,Big Charge of Ancient Pokémon!,10,Diamond and Pearl
485,486,Oreburgh Gym Again! Deciding Match Agaisnt Rampardos!,10,Diamond and Pearl
486,487,I Got a Pachirisu! Is That Ok??,10,Diamond and Pearl
487,488,Pokémon Hunter J!,10,Diamond and Pearl
488,489,The Strongest Magikarp & The Most Beautiful Feebas!,10,Diamond and Pearl
489,490,Pachirisu VS Aipom! Pokémon Contest!,10,Diamond and Pearl
490,491,Roaring Steelix! Protect the Bidoof Village!!,10,Diamond and Pearl
491,492,Showdown! Ash VS Pikachu!,10,Diamond and Pearl
492,493,The Gifted Roserade & The Flower Legend!,10,Diamond and Pearl
493,494,Pokémon Contest! Floaroma Conference!,10,Diamond and Pearl
494,495,Deciding Match! Piplup VS Prinplup!!,10,Diamond and Pearl
495,496,Drifloon and the North Wind Messenger!,10,Diamond and Pearl
496,497,Ash & Dawn! Saved By Double Battle?,10,Diamond and Pearl
497,498,Eterna Forest! The Great Burmy Evolution Plan!,10,Diamond and Pearl
498,499,Turtwig VS Turtwig! Speed Showdown!,10,Diamond and Pearl
499,500,Vespiquen of the Amber Castle!,10,Diamond and Pearl
500,501,It's Love! Pokémon Transformation Convention!!,10,Diamond and Pearl
501,502,Buizel! Road to Strength!,10,Diamond and Pearl
502,503,Elite Four Lucian & Bronzong!,10,Diamond and Pearl
503,504,The Sinnoh Space-Time Legend!,10,Diamond and Pearl
504,505,Eterna Gym! VS Gardenia!,10,Diamond and Pearl
505,506,Explosive Birth! Cycle Road!,10,Diamond and Pearl
506,507,Pikachu's In Charge!,10,Diamond and Pearl
507,508,Champion Cynthia Appears!,10,Diamond and Pearl
508,509,"Dawn, Zoey & A Double Performance!",10,Diamond and Pearl
509,510,Electrike Practice Centre!,10,Diamond and Pearl
510,511,Mismagius! Escape From Nightmare!,10,Diamond and Pearl
511,512,Save The Stray Hippopotas!,10,Diamond and Pearl
512,513,Hunter J Again! Protect Shieldon!,10,Diamond and Pearl
513,514,Maze Shuffle! Everybody Hustle!,10,Diamond and Pearl
514,515,"Mira, Abra & The Bottom of the Water!",10,Diamond and Pearl
515,516,Ash & Dawn! Head For A New Adventure!,10,Diamond and Pearl
516,517,Pokémon Contest! Hearthome Convention!,10,Diamond and Pearl
517,518,Everyone Participate! Tag Battle!,10,Diamond and Pearl
518,519,Chimchar VS Zangoose! Battle of Fate!,10,Diamond and Pearl
519,520,Tag Battle! The Finals!,10,Diamond and Pearl
520,521,Chimchar's Tears!,11,Diamond and Pearl: Battle Dimension
521,522,Cacea & Gardenia! Farewell is for Whom?!,11,Diamond and Pearl: Battle Dimension
522,523,Aipom & Buizel! Respective Roads!,11,Diamond and Pearl: Battle Dimension
523,524,Spiritomb & The Odd Keystone,11,Diamond and Pearl: Battle Dimension
524,525,Bibarel! Understood!,11,Diamond and Pearl: Battle Dimension
525,526,Probopass! Burning Spirit!,11,Diamond and Pearl: Battle Dimension
526,527,Luxray's Eyes!,11,Diamond and Pearl: Battle Dimension
527,528,Unown of Solaceon Ruins!,11,Diamond and Pearl: Battle Dimension
528,529,Pokémon Contest! Solaceon Convention!,11,Diamond and Pearl: Battle Dimension
529,530,Miltank of the Maid Café,11,Diamond and Pearl: Battle Dimension
530,531,The Swinub Trio & The Hot Spring Battle!,11,Diamond and Pearl: Battle Dimension
531,532,Gliscor and Gligar! Getting Through the Wind Maze!,11,Diamond and Pearl: Battle Dimension
532,533,Pachirisu in Hippowdon's Mouth!?,11,Diamond and Pearl: Battle Dimension
533,534,Lucario & The Aura Sphere of Rage!,11,Diamond and Pearl: Battle Dimension
534,535,Dawn's First Gym Battle!,11,Diamond and Pearl: Battle Dimension
535,536,Veilstone Gym! Lucario VS Buizel!,11,Diamond and Pearl: Battle Dimension
536,537,Lovely Fashion! Their Name is Team Galactic!,11,Diamond and Pearl: Battle Dimension
537,538,"Pull Yourself Together, Chingling!",11,Diamond and Pearl: Battle Dimension
538,539,Pokémon Ranger! The Wave-Guiding Riolu! (Part One),11,Diamond and Pearl: Battle Dimension
539,540,Pokémon Ranger! The Wave-Guiding Riolu! (Part Two),11,Diamond and Pearl: Battle Dimension
540,541,"Goodbye, Dustox!",11,Diamond and Pearl: Battle Dimension
541,542,Pikachu! Raichu! The Road to Evolution!,11,Diamond and Pearl: Battle Dimension
542,543,Enter The Contest Master - Wallace!,11,Diamond and Pearl: Battle Dimension
543,544,Restaurant Seven Stars! Tag Battle for a Full Course!!,11,Diamond and Pearl: Battle Dimension
544,545,Everyone's A Rival! Wallace Cup!,11,Diamond and Pearl: Battle Dimension
545,546,Fierce Battles! Everyone's Respective Rival!,11,Diamond and Pearl: Battle Dimension
546,547,Decisive Match! Dawn VS May!,11,Diamond and Pearl: Battle Dimension
547,548,The Yanma Capture Operation!,11,Diamond and Pearl: Battle Dimension
548,549,The Scorching Chimchar,11,Diamond and Pearl: Battle Dimension
549,550,The Croagunk Festival of the Pastoria Great Marsh!,11,Diamond and Pearl: Battle Dimension
550,551,Pastoria Gym! VS Crasher Wake!,11,Diamond and Pearl: Battle Dimension
551,552,The Gluttonous Swinub at Mr. Backlot's!,11,Diamond and Pearl: Battle Dimension
552,553,Gligar! Wings of Friendship!!,11,Diamond and Pearl: Battle Dimension
553,554,Hearthome Collection! Road To Becoming A Pokémon Stylist! ,11,Diamond and Pearl: Battle Dimension
554,555,The Psyduck Roadblock,11,Diamond and Pearl: Battle Dimension
555,556,The Pokémon Summer School Offer,11,Diamond and Pearl: Battle Dimension
556,557,"Research Release - ""The Legend of the Lake""!",11,Diamond and Pearl: Battle Dimension
557,558,It's Ghost Time After School!,11,Diamond and Pearl: Battle Dimension
558,559,The Final Showdown! Pokémon Triathlon!,11,Diamond and Pearl: Battle Dimension
559,560,"Return to the Basics, Team Rocket!",11,Diamond and Pearl: Battle Dimension
560,561,The Dancing Gym Leader! Fantina Appears!,11,Diamond and Pearl: Battle Dimension
561,562,Pachirisu's Fever! Care-taking by Two People!?,11,Diamond and Pearl: Battle Dimension
562,563,Pokémon Contest! The Celestic Convention!,11,Diamond and Pearl: Battle Dimension
563,564,The Charge of Team Galactic!! (Part One),11,Diamond and Pearl: Battle Dimension
564,565,The Charge of Team Galactic!! (Part Two),11,Diamond and Pearl: Battle Dimension
565,566,The Unidfentified Floating Monster!,11,Diamond and Pearl: Battle Dimension
566,567,Elite Four Aaron! Forest of Seperate Encounters!,11,Diamond and Pearl: Battle Dimension
567,568,"Turtwig, Grotle...& Torterra!",11,Diamond and Pearl: Battle Dimension
568,569,Rival Trainer Barry Appears!,11,Diamond and Pearl: Battle Dimension
569,570,Hearthome Gym! VS Fantina!,11,Diamond and Pearl: Battle Dimension
570,571,Chaotic Melee At Canalave City!,11,Diamond and Pearl: Battle Dimension
571,572,Cresselia VS Darkrai!,11,Diamond and Pearl: Battle Dimension
572,573,Yokan & Rotom,12,Diamond and Pearl: Galactic Battles
573,574,The Way To Befriend Pokémon!,12,Diamond and Pearl: Galactic Battles
574,575,Rampardos VS Bastiodon,12,Diamond and Pearl: Galactic Battles
575,576,Canalave Gym! Steel Battle!,12,Diamond and Pearl: Galactic Battles
576,577,The Missing Child Wailmer,12,Diamond and Pearl: Galactic Battles
577,578,Riley & Lucario!,12,Diamond and Pearl: Galactic Battles
578,579,The Hidden Ruins of Iron Island!,12,Diamond and Pearl: Galactic Battles
579,580,The Pikachu-Piplup Drifting Chronicle!,12,Diamond and Pearl: Galactic Battles
580,581,Mischief Phione!,12,Diamond and Pearl: Galactic Battles
581,582,Pokémon Contest! Akebi Convention!,12,Diamond and Pearl: Galactic Battles
582,583,The Wild Jenny & Her Partner Chatot!,12,Diamond and Pearl: Galactic Battles
583,584,Froslass In A Blizzard,12,Diamond and Pearl: Galactic Battles
584,585,Team Rocket Breakup!?,12,Diamond and Pearl: Galactic Battles
585,586,PokéRinger! Big Decisive Sky Battle!!,12,Diamond and Pearl: Galactic Battles
586,587,Clash! Mamoswine VS Aggron!,12,Diamond and Pearl: Galactic Battles
587,588,Mysterious Creatures: Pokémon,12,Diamond and Pearl: Galactic Battles
588,589,The Lonely Snover!,12,Diamond and Pearl: Galactic Battles
589,590,Evolution! This Time For Piplup!?,12,Diamond and Pearl: Galactic Battles
590,591,Pokémon Contest! Tatsuami Convention!,12,Diamond and Pearl: Galactic Battles
591,592,Pokémon PingPong Competition! Ambipom Perseveres!!,12,Diamond and Pearl: Galactic Battles
592,593,Cherubi! Brave Battle!?,12,Diamond and Pearl: Galactic Battles
593,594,Teacher Candice of the Trainers' School!,12,Diamond and Pearl: Galactic Battles
594,595,Snowpoint Gym! Ice Battle!!,12,Diamond and Pearl: Galactic Battles
595,596,Pyramid Battle! Brandon VS Paul!,12,Diamond and Pearl: Galactic Battles
596,597,Regigigas Resurrection! J Again!,12,Diamond and Pearl: Galactic Battles
597,598,Ampharos Train! Looker Appears!!,12,Diamond and Pearl: Galactic Battles
598,599,Full Battle! Paul VS Ash! (Part One),12,Diamond and Pearl: Galactic Battles
599,600,Full Battle! Paul VS Ash! (Part Two),12,Diamond and Pearl: Galactic Battles
600,601,Uxie's Shadow!,12,Diamond and Pearl: Galactic Battles
601,602,King of the Forest! Tangrowth!!,12,Diamond and Pearl: Galactic Battles
602,603,Everybody Participate! Pokemon Hustle!!,12,Diamond and Pearl: Galactic Battles
603,604,Mt. Coronet Ruins! Team Galactic Conspiracy!!,12,Diamond and Pearl: Galactic Battles
604,605,"Marill, Piplup & Elekid!",12,Diamond and Pearl: Galactic Battles
605,606,Dawn VS Mom! Showdown Between Parent & Child!!,12,Diamond and Pearl: Galactic Battles
606,607,Rescue Professor Oak! Politoed VS Croagunk!!,12,Diamond and Pearl: Galactic Battles
607,608,"Natu, Xatu...Mysterious Forest!",12,Diamond and Pearl: Galactic Battles
608,609,"Tower Tycoon! That Man, Palmer!",12,Diamond and Pearl: Galactic Battles
609,610,The Worst Togepi In History!,12,Diamond and Pearl: Galactic Battles
610,611,Johto Festa! Chikorita and Totodile Appear!!,12,Diamond and Pearl: Galactic Battles
611,612,Dungeon Capture!? Valley Windworks!!,12,Diamond and Pearl: Galactic Battles
612,613,Gible...Get!,12,Diamond and Pearl: Galactic Battles
613,614,Pokemon Contest! Suiren Convention!!,12,Diamond and Pearl: Galactic Battles
614,615,Ash and Dawn! Tag Battle!!,12,Diamond and Pearl: Galactic Battles
615,616,"Misdreavus, Murkrow & the Dusk Stone!",12,Diamond and Pearl: Galactic Battles
616,617,Pikachu & Piplup Keep Away!,12,Diamond and Pearl: Galactic Battles
617,618,The Red Chain! Team Galactic Start!!,12,Diamond and Pearl: Galactic Battles
618,619,"Azelf, Uxie, Mesprit!",12,Diamond and Pearl: Galactic Battles
619,620,Dialga and Palkia! The Final Battle!!,12,Diamond and Pearl: Galactic Battles
620,621,Full of Danger! James' Treasure Chest!!,12,Diamond and Pearl: Galactic Battles
621,622,Air Battle Master Appears! Gliscor VS Scizor!,12,Diamond and Pearl: Galactic Battles
622,623,Double Battle! Mamoswine & Cyndaquil!,12,Diamond and Pearl: Galactic Battles
623,624,Gible & Draco Meteor,12,Diamond and Pearl: Galactic Battles
624,625,Gible! Get It!!,12,Diamond and Pearl: Galactic Battles
625,626,Explosion! Magnezone vs Metagross!!,13,Diamond and Pearl: Sinnoh League Victors
626,627,Growling Ice Punch! Buizel VS Mr. Mime!!,13,Diamond and Pearl: Sinnoh League Victors
627,628,Get Fired Up Snorlax! Prince of Pokéthlon!,13,Diamond and Pearl: Sinnoh League Victors
628,629,Pokemon Contest! Asatsuki Tournament!!,13,Diamond and Pearl: Sinnoh League Victors
629,630,Double Battle! VS Plusle & Minun!,13,Diamond and Pearl: Sinnoh League Victors
630,631,Blast Evolution! Infernape!!,13,Diamond and Pearl: Sinnoh League Victors
631,632,Piplup Becomes Separated!,13,Diamond and Pearl: Sinnoh League Victors
632,633,Elite Four Flint and Gym Leader Volkner!,13,Diamond and Pearl: Sinnoh League Victors
633,634,Takeoff! Sunyshore Tower!!,13,Diamond and Pearl: Sinnoh League Victors
634,635,Beach Pokémon School!,13,Diamond and Pearl: Sinnoh League Victors
635,636,Fly Shaymin! To the Far Side of the Sky!!,13,Diamond and Pearl: Sinnoh League Victors
636,637,Pokémon Ranger! Heatran Rescue Mission!!,13,Diamond and Pearl: Sinnoh League Victors
637,638,Elite Four Bertha! Hippowdon vs Torterra!!,13,Diamond and Pearl: Sinnoh League Victors
638,639,Dancing Togekiss! Pokemon Contest Princess!!,13,Diamond and Pearl: Sinnoh League Victors
639,640,Togekiss! The Battle Which it Becomes Magnificent!!,13,Diamond and Pearl: Sinnoh League Victors
640,641,Ditto - Transformation Battle,13,Diamond and Pearl: Sinnoh League Victors
641,642,Grand Festival! The Art of Flame & Ice!,13,Diamond and Pearl: Sinnoh League Victors
642,643,Mamoswine & Pachirisu! The Ice Chandelier - Decisive Blow!,13,Diamond and Pearl: Sinnoh League Victors
643,644,Semi-Final! Who is Heading to the Final!?,13,Diamond and Pearl: Sinnoh League Victors
644,645,Final! Dawn VS Zoey!,13,Diamond and Pearl: Sinnoh League Victors
645,646,Goodbye Team Rocket! Meowth's Love!,13,Diamond and Pearl: Sinnoh League Victors
646,647,Electric Shock Battle! The Final Badge!!,13,Diamond and Pearl: Sinnoh League Victors
647,648,Ash VS Kenny! Setting Sail for Each Destination,13,Diamond and Pearl: Sinnoh League Victors
648,649,Treasure Hunter - Buck & Claydol,13,Diamond and Pearl: Sinnoh League Victors
649,650,The Eve of the Fierce Fighting! The Big Gathering of Ash's Pokémon!,13,Diamond and Pearl: Sinnoh League Victors
650,651,Opening! Sinnoh League - Suzuran Tournament!!,13,Diamond and Pearl: Sinnoh League Victors
651,652,Sinnoh League Third Round! Barry VS Paul!,13,Diamond and Pearl: Sinnoh League Victors
652,653,Trick Room Terror! Ash VS Conway!,13,Diamond and Pearl: Sinnoh League Victors
653,654,Rival Decisive Battle! Ash VS Paul!,13,Diamond and Pearl: Sinnoh League Victors
654,655,Intense Fighting Full Battle! Ash VS Paul!,13,Diamond and Pearl: Sinnoh League Victors
655,656,Rival Battle Conclusion! Ash VS Paul!,13,Diamond and Pearl: Sinnoh League Victors
656,657,Sinnoh League Semi-Final! Darkrai Appears!,13,Diamond and Pearl: Sinnoh League Victors
657,658,Pokémon Doctor Brock,13,Diamond and Pearl: Sinnoh League Victors
658,659,Memories are Pearl! Friendships are Diamond!,13,Diamond and Pearl: Sinnoh League Victors
659,660,To the Unova Region! Zekrom's Shadow!!,14,Black and White
660,661,Iris & Axew!,14,Black and White
661,662,Oshawott! Sandile! Critical Moment!!,14,Black and White
662,663,Battle Club! Mysterious Pokemon Appears!!,14,Black and White
663,664,"Striaton Gym! VS Pansear, Panpour, Pansage!",14,Black and White
664,665,Dreamyard! Munna & Musharna!!,14,Black and White
665,666,Get Snivy With Attract!?,14,Black and White
666,667,Darumakka and Darmanitan! The secret of Clock Tower!!,14,Black and White
667,668,Out of Control Scolipede! Rescue Axew!!,14,Black and White
668,669,Rival Battle! Strong Opponent Frillish!!,14,Black and White
669,670,Dwebble! Take Back Your House!!,14,Black and White
670,671,The Trubbish Squad & The Secret Base!!,14,Black and White
671,672,Minccino is Tidy?!,14,Black and White
672,673,Nacrene City! Big Adventure at the Museum!,14,Black and White
673,674,Nacrene Gym Battle! VS Gym Leader Lenora!!,14,Black and White
674,675,Nacrene City Gym Rematch! Explosive New Move!!,14,Black and White
675,676,The Wild Child That Hatched From The Egg.,14,Black and White
676,677,Pinwheel Forest! Sewaddle and Burgh!!,14,Black and White
677,678,Sommelier Showdown! Dwebble vs Dewott!!,14,Black and White
678,679,Pikachu VS Sandile VS Ducklett,14,Black and White
679,680,Sky Arrow Bridge & Gothitelle!,14,Black and White
680,681,Castelia City - Venipede Panic!,14,Black and White
681,682,Team Rocket VS Team Plasma! (Part One),14,Black and White
682,683,Team Rocket VS Team Plasma! (Part Two),14,Black and White
683,684,Castelia Gym Battle - Pure-Hearted Bug Battle!,14,Black and White
684,685,Castelia City Fishing Competition! Fishing Sommelier - Cilan Appears!,14,Black and White
685,686,Beware of Cute Faces! Emolga Paralyses!,14,Black and White
686,687,Emolga VS Snivy! Volt Switch Chaos!,14,Black and White
687,688,The Scary Story of the Litwick Mansion!,14,Black and White
688,689,The Road To Becoming A Dragon Master! Axew VS Druddigon!!,14,Black and White
689,690,The Lost Shell! Oshawott's Biggest Crisis!,14,Black and White
690,691,Beloved Cottonee Rides the Wind!,14,Black and White
691,692,Elgyem & The Unidentified Flying Object!,14,Black and White
692,693,Rival Battle! Vanillite & Timburr Participate in Battle!,14,Black and White
693,694,Palpitoad & Stunfisk! Battle at the Waterfront!,14,Black and White
694,695,The Dragon Buster Appears! Iris & Excadrill!!,14,Black and White
695,696,Roggenrola!! Let's Fire the Flash Cannon!!,14,Black and White
696,697,Connoisseur Detective Cilan! The Audino Disappearance Case!,14,Black and White
697,698,Fossil Revival! Ancient Mysterious Bird Archeops!!,14,Black and White
698,699,Zorua the Movie! Legend of the Pokémon Knight!,14,Black and White
699,700,Everyone Gathers! Don Battle!!,14,Black and White
700,701,Fierce Fighting Don Battle! Snivy VS Pawniard!,14,Black and White
701,702,Heated Don Battle! Emolga VS Sawk!!,14,Black and White
702,703,Decisive Don Battle! Ash VS Iris!!,14,Black and White
703,704,Negotiator Meowth! Scrafty Persuasion Tactics!!,14,Black and White
704,705,Be Cautious of Purrloin! Meowth & Oshawott!!,14,Black and White
705,706,Beheeyem and Duosion and the Dream Thief!,14,Black and White
706,707,Negotiator Meowth! Break Through the Forest of Beartic!!,14,Black and White
707,708,High-Speed! Battle Subway! Part One,14,Black and White
708,709,High-Speed! Battle Subway! Part Two,14,Black and White
709,710,Charismatic Gym Leader Appears! Elesa Enters!,15,Black and White: Rival Destinies
710,711,Nimbasa Gym! Lightning Battle!!,15,Black and White: Rival Destinies
711,712,Ash & Cilan VS The Subway Bosses!,15,Black and White: Rival Destinies
712,713,Ash VS Champion Alder!,15,Black and White: Rival Destinies
713,714,"Somewhere, Over The Rainbow! A Maractus Musical!",15,Black and White: Rival Destinies
714,715,"Sawsbuck: Spring, Summer, Fall, Winter, All Present!!",15,Black and White: Rival Destinies
715,716,Scraggy & The Selfish Gothita!!,15,Black and White: Rival Destinies
716,717,Iris & Deino! Training at the Day Care!!,15,Black and White: Rival Destinies
717,718,Swift Hero A☆celgor VS Cryogonal Man!!,15,Black and White: Rival Destinies
718,719,"Cilan & Chili, The Brother's Battle! Pansear VS Pansage!!",15,Black and White: Rival Destinies
719,720,Tornadus VS Thundurus VS Landorus!! (Part One),15,Black and White: Rival Destinies
720,721,Tornadus VS Thundurus VS Landorus!! (Part Two),15,Black and White: Rival Destinies
721,722,Underground Gym Battle! VS Clay!!,15,Black and White: Rival Destinies
722,723,"Joltik, Galvantula! Chargestone Cave!!",15,Black and White: Rival Destinies
723,724,Trade Evolution! Escavalier & Accelgor!!,15,Black and White: Rival Destinies
724,725,The Black Hero's Ruins! Sigiliyph and Cofagrigus!!,15,Black and White: Rival Destinies
725,726,Double Battle! Pikachu & Krokorok VS Scolipede & Seismitoad!!,15,Black and White: Rival Destinies
726,727,"Afro, GO! Bouffalant, NO!!",15,Black and White: Rival Destinies
727,728,Mistralton Gym Air-Battle! Challenger Cilan!?,15,Black and White: Rival Destinies
728,729,Mistralton Gym! Decisive Aerial Battle VS Skyla!!,15,Black and White: Rival Destinies
729,730,Obstacle Breakthrough! Climb The Tower of the Sky!!,15,Black and White: Rival Destinies
730,731,The Unveiling Donamite! Scraggy VS Simisage!!,15,Black and White: Rival Destinies
731,732,Quick Succession Donamite! Druddigon VS Bisharp!!,15,Black and White: Rival Destinies
732,733,Fierce Fighting Donamite! Bisharp VS Emboar!!,15,Black and White: Rival Destinies
733,734,Decisive Battle Donamite! Throh vs Sawk!!,15,Black and White: Rival Destinies
734,735,Rescue Axew! The Den of Durant!!!,15,Black and White: Rival Destinies
735,736,Fierce Fighting at Twist Mountain! Carracosta's Miracle!! (Part One),15,Black and White: Rival Destinies
736,737,Fierce Fighting at Twist Mountain! Carracosta's Miracle!! (Part Two),15,Black and White: Rival Destinies
737,738,Flaming Memories! Tepig VS Emboar!!,15,Black and White: Rival Destinies
738,739,Brycen Appears! The Holy Mountain of Volcarona!!,15,Black and White: Rival Destinies
739,740,Icirrus Gym Battle! Ice Battlefield!!,15,Black and White: Rival Destinies
740,741,Pokémon Connoisseur Showdown! Tasting Battle!!,15,Black and White: Rival Destinies
741,742,Ferroseed Research Institute! Iris and Vanilluxe!!,15,Black and White: Rival Destinies
742,743,"Movie Showdown! Sortie, Unova Defense Group!!",15,Black and White: Rival Destinies
743,744,Fierce Fighting at the Virbank Gym! VS Roxie!! Part 1,15,Black and White: Rival Destinies
744,745,Fierce Fighting at the Virbank Gym! VS Roxie!! Part 2,15,Black and White: Rival Destinies
745,746,"Sing, Meloetta! The Melody of Love!!",15,Black and White: Rival Destinies
746,747,"Piplup VS Pansage, the Magnificent Battle!!",15,Black and White: Rival Destinies
747,748,Survival on the Island of Onix!,15,Black and White: Rival Destinies
748,749,Connoiseur Detective Cilan! The Mystery of the Lost Cubchoo!,15,Black and White: Rival Destinies
749,750,Iris and the Roughneck Dragonite!,15,Black and White: Rival Destinies
750,751,The Junior Cup Gets Underway! Dragonite VS Beartic!!,15,Black and White: Rival Destinies
751,752,Power Battle! Iris VS Dawn!,15,Black and White: Rival Destinies
752,753,"Ash, Iris & Trip's Final Battle",15,Black and White: Rival Destinies
753,754,"The Junior Cup, Site of Partings and Encounters!",15,Black and White: Rival Destinies
754,755,Humilau Gym Battle! Mantine VS Samurott,15,Black and White: Rival Destinies
755,756,Pokémon Nursery School Uproar! Rufflet & Vullaby!,15,Black and White: Rival Destinies
756,757,Meloetta and the Underwater Temple!,15,Black and White: Rival Destinies
757,758,Advance of the Therian Formes! Unova's Greatest Crisis!!,15,Black and White: Rival Destinies
758,759,The World's Most Gorgeous Pokémon?! Cinccino VS Snivy!!,16,Black and White: Adventures in Unova and Beyond
759,760,The Earth & Sky Tag Battle!!,16,Black and White: Adventures in Unova and Beyond
760,761,"Iris, Return to Dragon Village!",16,Black and White: Adventures in Unova and Beyond
761,762,Opelucid Gym! Iris VS Drayden!!,16,Black and White: Adventures in Unova and Beyond
762,763,"Team Eevee, Depart! The Pokémon Rescue Squad!!",16,Black and White: Adventures in Unova and Beyond
763,764,The Unova League Higaki Tournament Begins! Ash VS Trip!!,16,Black and White: Adventures in Unova and Beyond
764,765,Fierce Fighting! Win Your Way Through the Rival Battles!!,16,Black and White: Adventures in Unova and Beyond
765,766,Axew Gets Lost!,16,Black and White: Adventures in Unova and Beyond
766,767,Sawk Enters! Ash VS Stephan!,16,Black and White: Adventures in Unova and Beyond
767,768,Ash VS Cameron! The Hydreigon Secret Weapon!!,16,Black and White: Adventures in Unova and Beyond
768,769,Unova League Conclusion! Lucario VS Pikachu!!,16,Black and White: Adventures in Unova and Beyond
769,770,Juniper's Laboratory! A New Journey!,16,Black and White: Adventures in Unova and Beyond
770,771,Friend...His name is N!,16,Black and White: Adventures in Unova and Beyond
771,772,"The New Gym Leader, Cheren!!",16,Black and White: Adventures in Unova and Beyond
772,773,Colress VS Looker! The Team Plasma Conspiracy!,16,Black and White: Adventures in Unova and Beyond
773,774,The Foggy Floccesy Ranch! Ampharos' Light!,16,Black and White: Adventures in Unova and Beyond
774,775,N Returns! Operation: Rescue Braviary!!,16,Black and White: Adventures in Unova and Beyond
775,776,Hurry Up! The Pokémon Gulf Coast Relief Corps!!,16,Black and White: Adventures in Unova and Beyond
776,777,"Burn, Charizard! VS Dragonite!",16,Black and White: Adventures in Unova and Beyond
777,778,Team Plasma's Aspiration! The Manipulated Pokémon!!,16,Black and White: Adventures in Unova and Beyond
778,779,N's Secret...Beyond the Fog!,16,Black and White: Adventures in Unova and Beyond
779,780,Team Rocket VS Team Plasma! Meowth and Colress!!,16,Black and White: Adventures in Unova and Beyond
780,781,The White Ruins! Ash VS N!!,16,Black and White: Adventures in Unova and Beyond
781,782,Team Plasma Strikes! The Ressurection Ritual!!,16,Black and White: Adventures in Unova and Beyond
782,783,Reshiram VS N! Beyond Ideals and Truth!!,16,Black and White: Adventures in Unova and Beyond
783,784,Farewell Unova! Setting Sail Once Again!!,16,Black and White: Adventures in Unova and Beyond
784,785,Sweet Honeymitsu is Filled with Danger!,16,Black and White: Adventures in Unova and Beyond
785,786,Cilan the Connoisseur Detective! A Locked Room Mystery on the Open Sea!!,16,Black and White: Adventures in Unova and Beyond
786,787,"Farewell, Oshawott!? The Path to Becoming Scalchop King!",16,Black and White: Adventures in Unova and Beyond
787,788,Illusion Island! Zoroark in the Fog!,16,Black and White: Adventures in Unova and Beyond
