Id,Label,season,season_title,node_type,region,episode
10358,The Forest's Fighting King! Combusken VS Breloom!,7,Advanced Challenge,episode,hoenn,42
10359,Castform & The Weather Institute!,7,Advanced Challenge,episode,hoenn,43
10360,Fortree City's Feather Carnival!,7,Advanced Challenge,episode,hoenn,44
10361,Fortree Gym! Battle In The Sky,7,Advanced Challenge,episode,hoenn,45
10362,The Film's Riding on Camerupt!,7,Advanced Challenge,episode,hoenn,46
10363,Mystery! Pokémon From Outer Space?!,7,Advanced Challenge,episode,hoenn,47
10364,The Snorlax in Slakoth's Banana Garden!!,7,Advanced Challenge,episode,hoenn,48
10365,Pikachu...Joining Team Rocket??,7,Advanced Challenge,episode,hoenn,49
10366,Arrival in Lilycove City! PokéBlocks and Aerial Ace!?,7,Advanced Challenge,episode,hoenn,50
10367,Pokémon Contest! Lilycove Tournament!,7,Advanced Challenge,episode,hoenn,51
10368,The Three Animal Appearence! The Referee School Island!,7,Advanced Challenge,episode,hoenn,52
10369,Spoink & Clamperl! Seek The Pearl!,8,Advanced Battle,episode,hoenn,1
10370,Relicanth and the Deep Sea Treasure!,8,Advanced Battle,episode,hoenn,2
10371,Gorebyss & Huntail! The Evolution Mystery!,8,Advanced Battle,episode,hoenn,3
10372,Muscle Battle! Double Battle!,8,Advanced Battle,episode,hoenn,4
10373,Groudon VS Kyogre! (Part One),8,Advanced Battle,episode,hoenn,5
10374,Groudon VS Kyogre! (Part Two),8,Advanced Battle,episode,hoenn,6
10375,Tate & Liza! Space Center Battle!,8,Advanced Battle,episode,hoenn,7
10376,Mossdeep Gym! Lunatone & Solrock!,8,Advanced Battle,episode,hoenn,8
10377,Shaking Island Battle! Barboach vs Whiscash!,8,Advanced Battle,episode,hoenn,9
10378,Seaman! Enter The Elite 4 Drake!,8,Advanced Battle,episode,hoenn,10
10379,Island of Dr. Proctor! Fossil Pokémon Appear!!,8,Advanced Battle,episode,hoenn,11
10380,Izabe Island Pokémon Contest! Beware the Rival!,8,Advanced Battle,episode,hoenn,12
10381,Seal The Large Claydol!!,8,Advanced Battle,episode,hoenn,13
10382,Falling in Love With Mawile! Lombre's Flower Arrangement!!,8,Advanced Battle,episode,hoenn,14
10383,Trapinch & Vibrava! Lake of Illusion!,8,Advanced Battle,episode,hoenn,15
10384,Absol! Creeping Shadow Of Disaster!!,8,Advanced Battle,episode,hoenn,16
10385,Catch Snorunt!,8,Advanced Battle,episode,hoenn,17
10386,Rescue Ralts! Hurry Max!!,8,Advanced Battle,episode,hoenn,18
10387,"Sootopolis Gym! Juan, Artist of Water! (Part 1)!",8,Advanced Battle,episode,hoenn,19
10388,"Sootopolis Gym! Juan, Artist of Water! (Part 2)!",8,Advanced Battle,episode,hoenn,20
10389,Linoone! The Shape of Friendship!?!,8,Advanced Battle,episode,hoenn,21
10390,Wynaut of Mirage Island!,8,Advanced Battle,episode,hoenn,22
10391,Rollout! Loving Donphan!,8,Advanced Battle,episode,hoenn,23
10392,Disorderly Melee! Pokémon Contest - Pacifidlog Convention! (Part One),8,Advanced Battle,episode,hoenn,24
10393,Disorderly Melee! Pokémon Contest - Pacifidlog Convention! (Part Two),8,Advanced Battle,episode,hoenn,25
10394,'May-Delicious' Captures Munchlax,8,Advanced Battle,episode,hoenn,26
10395,Rival Enters! Morrison & Beldum!,8,Advanced Battle,episode,hoenn,27
10396,Mysterious Thief Brody & The Ribbon Cup!,8,Advanced Battle,episode,hoenn,28
10397,Ash & May! Heated Battles In Hoenn!,8,Advanced Battle,episode,hoenn,29
10398,Begin! Grand Festival! (1)!,8,Advanced Battle,episode,hoenn,30
10399,Fierce Fighting! Grand Festival! (2)!,8,Advanced Battle,episode,hoenn,31
10400,Decisive Battle! Grand Festival! (3)!,8,Advanced Battle,episode,hoenn,32
10401,Let's Go With Survival!,8,Advanced Battle,episode,hoenn,33
10402,EverGrande City Arrival! Meowth in Boots!?,8,Advanced Battle,episode,hoenn,34
10403,Start The Preliminaries! Morrison Appears!!,8,Advanced Battle,episode,hoenn,35
10404,Opening! EverGrande Tournement!!,8,Advanced Battle,episode,hoenn,36
10405,To The Tournament Finals! Every Day A Heated Battle!,8,Advanced Battle,episode,hoenn,37
10406,And... Continue The Battle That Cannot Be Lost!!,8,Advanced Battle,episode,hoenn,38
10407,Rival Confrontation! VS Morrison!,8,Advanced Battle,episode,hoenn,39
10408,The Last Fierce Fighting! The Road to the Championship!!,8,Advanced Battle,episode,hoenn,40
10409,Scott & The Battle Frontier!,8,Advanced Battle,episode,hoenn,41
10410,Oak's Laboratory! All Member's Gather!,8,Advanced Battle,episode,hoenn,42
10411,"Mt. Moon! With Cleffa, Clefairy & Clefable!",8,Advanced Battle,episode,hoenn,43
10412,First Battle! Battle Factory (Part 1),8,Advanced Battle,episode,hoenn,44
10413,First Battle! Battle Factory (Part 2)!,8,Advanced Battle,episode,hoenn,45
10414,The Kingdom Of Onix!,8,Advanced Battle,episode,hoenn,46
10415,Jigglypuff's Song! Father's Song!!,8,Advanced Battle,episode,hoenn,47
10416,Rival Confrontation! VS Arcanine!,8,Advanced Battle,episode,hoenn,48
10417,Psyduck's Depression!,8,Advanced Battle,episode,hoenn,49
10418,Sneasel & Mr. Mime! Which Restaurant?!,8,Advanced Battle,episode,hoenn,50
10419,Evolution! That Mystery & Marvel!!,8,Advanced Battle,episode,hoenn,51
10420,Pokémon Contest! Saffron Conference (Part 1)!,8,Advanced Battle,episode,hoenn,52
10421,Pokémon Contest! Saffron Conference (Part 2)!,8,Advanced Battle,episode,hoenn,53
10422,Hand-to-Hand Fighting Dojo! Ash VS May!!,9,Battle Frontier,episode,hoenn,1
10423,Psychic VS Ghost! Midnight Showdown!!,9,Battle Frontier,episode,hoenn,2
10424,Mime Jr Enters! House of Relaxation!!,9,Battle Frontier,episode,hoenn,3
10425,Mudkip & Flaaffy! Wonder Drug of Love!?,9,Battle Frontier,episode,hoenn,4
10426,Battle Arena! Fighting Confrontation!!,9,Battle Frontier,episode,hoenn,5
10427,The Breeding Centre & The Pokémon Egg!,9,Battle Frontier,episode,hoenn,6
10428,The Rival Is A SalaryMan??,9,Battle Frontier,episode,hoenn,7
10429,Dragonair's Lake!,9,Battle Frontier,episode,hoenn,8
10430,Battle Dome! Fusion of Fire & Water!,9,Battle Frontier,episode,hoenn,9
10431,Startling! Frightening! Elekid!,9,Battle Frontier,episode,hoenn,10
10432,Pokémon Ranger Appears! Celebi Rescue Operation!,9,Battle Frontier,episode,hoenn,11
10433,Bonsly & The Ninja School!,9,Battle Frontier,episode,hoenn,12
10434,May Travels Through Time!,9,Battle Frontier,episode,hoenn,13
10435,Fierce Fighting at the Battle Pike! VS Pike Queen Lucy!,9,Battle Frontier,episode,hoenn,14
10436,Who Single-Handedly has the Victory!? Pokemon Orienteering!!,9,Battle Frontier,episode,hoenn,15
10437,Munchlax's Battle Debut! Harley & Taking the Game Seriously!,9,Battle Frontier,episode,hoenn,16
10438,Grovyle VS Tropius! Grass Field Battle!,9,Battle Frontier,episode,hoenn,17
10439,Pokémon Contest! Yuzuhira Convention!,9,Battle Frontier,episode,hoenn,18
10440,Sceptile! Dawn of Revival!,9,Battle Frontier,episode,hoenn,19
10441,Fierce Fighting! Jungle Battle at the Battle Palace!,9,Battle Frontier,episode,hoenn,20
10442,King Bonsly & Queen Mime Jr!,9,Battle Frontier,episode,hoenn,21
10443,The Red Inazuma SkyScraper!,9,Battle Frontier,episode,hoenn,22
10444,Decisive Game! May VS Brock!,9,Battle Frontier,episode,hoenn,23
10445,Smoochum & The Three Jynx Sisters!,9,Battle Frontier,episode,hoenn,24
10446,Salon Maiden Anabel Enters!,9,Battle Frontier,episode,hoenn,25
10447,Battle Tower! Telepathy Battle!,9,Battle Frontier,episode,hoenn,26
10448,Pokémon Ranger! Deoxys Crisis!,9,Battle Frontier,episode,hoenn,27
10449,Sudowoodo! Legend of Gold!,9,Battle Frontier,episode,hoenn,28
10450,Harley & Team Rocket! The Formation of the Villanious Alliance!,9,Battle Frontier,episode,hoenn,29
10451,May VS Jessie! The Final Contest!,9,Battle Frontier,episode,hoenn,30
10452,Team Rocket's Disbandment!? Respective Roads!,9,Battle Frontier,episode,hoenn,31
10453,Brock & Ash! Defend Pewter Gym in Tag Battle!,9,Battle Frontier,episode,hoenn,32
10454,Battle Pyramid! VS Regirock!,9,Battle Frontier,episode,hoenn,33
10455,Marvel! Mountain of the Giant Slaking!,9,Battle Frontier,episode,hoenn,34
10456,Begin! Pokémon Contest - Grand Festival!,9,Battle Frontier,episode,hoenn,35
10457,May VS Harley! Double Battle On Stage!!,9,Battle Frontier,episode,hoenn,36
10458,May VS Drew! The Final Battle!,9,Battle Frontier,episode,hoenn,37
10459,Aipom & The King!,9,Battle Frontier,episode,hoenn,38
10460,Chatot & The Pokémon Comedian!,9,Battle Frontier,episode,hoenn,39
10461,Attack! The Stray Weavile!,9,Battle Frontier,episode,hoenn,40
10462,Battle Pyramid Again! VS Registeel!,9,Battle Frontier,episode,hoenn,41
10463,May VS Drew! Rivals Forever!,9,Battle Frontier,episode,hoenn,42
10464,The Pokémon Center is Very Busy!,9,Battle Frontier,episode,hoenn,43
10465,First Pokémon! Last Battle!,9,Battle Frontier,episode,hoenn,44
10466,Deciding Match! VS Regice!,9,Battle Frontier,episode,hoenn,45
10467,Ash VS May! The Last Battle!!,9,Battle Frontier,episode,hoenn,46
10468,The End Of a Journey! The Start of A Journey!,9,Battle Frontier,episode,hoenn,47
10469,Begin! From Twinleaf Town to Sandgem Town!,10,Diamond and Pearl,episode,sinnoh,1
10470,Find Pikachu! Route 202!,10,Diamond and Pearl,episode,sinnoh,2
10471,Rival Battle! 3 VS 3!,10,Diamond and Pearl,episode,sinnoh,3
10472,Piplup VS Budew! Dawn's First Battle!!,10,Diamond and Pearl,episode,sinnoh,4
10473,Get Turtwig!,10,Diamond and Pearl,episode,sinnoh,5
10474,Forest of Hesitation! Paul Again!!,10,Diamond and Pearl,episode,sinnoh,6
10475,Piplup Hangs On!!,10,Diamond and Pearl,episode,sinnoh,7
10476,Croagunk & The Mysterious Gym!!,10,Diamond and Pearl,episode,sinnoh,8
10477,Lets Play With Buneary!,10,Diamond and Pearl,episode,sinnoh,9
10478,Pokétch is Unavailable?!!,10,Diamond and Pearl,episode,sinnoh,10
10479,Dawn's Contest Debut!,10,Diamond and Pearl,episode,sinnoh,11
10480,Contest Battle! Rival Confrontation!!,10,Diamond and Pearl,episode,sinnoh,12
10481,Good Luck Starly!!,10,Diamond and Pearl,episode,sinnoh,13
10482,Leave it to Brock!!,10,Diamond and Pearl,episode,sinnoh,14
10483,Oreburgh Gym! Paul VS Roark!!,10,Diamond and Pearl,episode,sinnoh,15
10484,Cranidos VS Pikachu!,10,Diamond and Pearl,episode,sinnoh,16
10485,Big Charge of Ancient Pokémon!,10,Diamond and Pearl,episode,sinnoh,17
10486,Oreburgh Gym Again! Deciding Match Agaisnt Rampardos!,10,Diamond and Pearl,episode,sinnoh,18
10487,I Got a Pachirisu! Is That Ok??,10,Diamond and Pearl,episode,sinnoh,19
10488,Pokémon Hunter J!,10,Diamond and Pearl,episode,sinnoh,20
10489,The Strongest Magikarp & The Most Beautiful Feebas!,10,Diamond and Pearl,episode,sinnoh,21
10490,Pachirisu VS Aipom! Pokémon Contest!,10,Diamond and Pearl,episode,sinnoh,22
10491,Roaring Steelix! Protect the Bidoof Village!!,10,Diamond and Pearl,episode,sinnoh,23
10492,Showdown! Ash VS Pikachu!,10,Diamond and Pearl,episode,sinnoh,24
10493,The Gifted Roserade & The Flower Legend!,10,Diamond and Pearl,episode,sinnoh,25
10494,Pokémon Contest! Floaroma Conference!,10,Diamond and Pearl,episode,sinnoh,26
10495,Deciding Match! Piplup VS Prinplup!!,10,Diamond and Pearl,episode,sinnoh,27
10496,Drifloon and the North Wind Messenger!,10,Diamond and Pearl,episode,sinnoh,28
10497,Ash & Dawn! Saved By Double Battle?,10,Diamond and Pearl,episode,sinnoh,29
10498,Eterna Forest! The Great Burmy Evolution Plan!,10,Diamond and Pearl,episode,sinnoh,30
10499,Turtwig VS Turtwig! Speed Showdown!,10,Diamond and Pearl,episode,sinnoh,31
10500,Vespiquen of the Amber Castle!,10,Diamond and Pearl,episode,sinnoh,32
10501,It's Love! Pokémon Transformation Convention!!,10,Diamond and Pearl,episode,sinnoh,33
10502,Buizel! Road to Strength!,10,Diamond and Pearl,episode,sinnoh,34
10503,Elite Four Lucian & Bronzong!,10,Diamond and Pearl,episode,sinnoh,35
10504,The Sinnoh Space-Time Legend!,10,Diamond and Pearl,episode,sinnoh,36
10505,Eterna Gym! VS Gardenia!,10,Diamond and Pearl,episode,sinnoh,37
10506,Explosive Birth! Cycle Road!,10,Diamond and Pearl,episode,sinnoh,38
10507,Pikachu's In Charge!,10,Diamond and Pearl,episode,sinnoh,39
10508,Champion Cynthia Appears!,10,Diamond and Pearl,episode,sinnoh,40
10509,"Dawn, Zoey & A Double Performance!",10,Diamond and Pearl,episode,sinnoh,41
10510,Electrike Practice Centre!,10,Diamond and Pearl,episode,sinnoh,42
10511,Mismagius! Escape From Nightmare!,10,Diamond and Pearl,episode,sinnoh,43
10512,Save The Stray Hippopotas!,10,Diamond and Pearl,episode,sinnoh,44
10513,Hunter J Again! Protect Shieldon!,10,Diamond and Pearl,episode,sinnoh,45
10514,Maze Shuffle! Everybody Hustle!,10,Diamond and Pearl,episode,sinnoh,46
10515,"Mira, Abra & The Bottom of the Water!",10,Diamond and Pearl,episode,sinnoh,47
10516,Ash & Dawn! Head For A New Adventure!,10,Diamond and Pearl,episode,sinnoh,48
10517,Pokémon Contest! Hearthome Convention!,10,Diamond and Pearl,episode,sinnoh,49
10518,Everyone Participate! Tag Battle!,10,Diamond and Pearl,episode,sinnoh,50
10519,Chimchar VS Zangoose! Battle of Fate!,10,Diamond and Pearl,episode,sinnoh,51
10520,Tag Battle! The Finals!,10,Diamond and Pearl,episode,sinnoh,52
10521,Chimchar's Tears!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,1
10522,Cacea & Gardenia! Farewell is for Whom?!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,2
10523,Aipom & Buizel! Respective Roads!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,3
10524,Spiritomb & The Odd Keystone,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,4
10525,Bibarel! Understood!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,5
10526,Probopass! Burning Spirit!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,6
10527,Luxray's Eyes!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,7
10528,Unown of Solaceon Ruins!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,8
10529,Pokémon Contest! Solaceon Convention!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,9
10530,Miltank of the Maid Café,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,10
10531,The Swinub Trio & The Hot Spring Battle!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,11
10532,Gliscor and Gligar! Getting Through the Wind Maze!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,12
10533,Pachirisu in Hippowdon's Mouth!?,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,13
10534,Lucario & The Aura Sphere of Rage!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,14
10535,Dawn's First Gym Battle!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,15
10536,Veilstone Gym! Lucario VS Buizel!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,16
10537,Lovely Fashion! Their Name is Team Galactic!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,17
10538,"Pull Yourself Together, Chingling!",11,Diamond and Pearl: Battle Dimension,episode,sinnoh,18
10539,Pokémon Ranger! The Wave-Guiding Riolu! (Part One),11,Diamond and Pearl: Battle Dimension,episode,sinnoh,19
10540,Pokémon Ranger! The Wave-Guiding Riolu! (Part Two),11,Diamond and Pearl: Battle Dimension,episode,sinnoh,20
10541,"Goodbye, Dustox!",11,Diamond and Pearl: Battle Dimension,episode,sinnoh,21
10542,Pikachu! Raichu! The Road to Evolution!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,22
10543,Enter The Contest Master - Wallace!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,23
10544,Restaurant Seven Stars! Tag Battle for a Full Course!!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,24
10545,Everyone's A Rival! Wallace Cup!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,25
10546,Fierce Battles! Everyone's Respective Rival!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,26
10547,Decisive Match! Dawn VS May!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,27
10548,The Yanma Capture Operation!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,28
10549,The Scorching Chimchar,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,29
10550,The Croagunk Festival of the Pastoria Great Marsh!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,30
10551,Pastoria Gym! VS Crasher Wake!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,31
10552,The Gluttonous Swinub at Mr. Backlot's!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,32
10553,Gligar! Wings of Friendship!!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,33
10554,Hearthome Collection! Road To Becoming A Pokémon Stylist! ,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,34
10555,The Psyduck Roadblock,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,35
10556,The Pokémon Summer School Offer,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,36
10557,"Research Release - ""The Legend of the Lake""!",11,Diamond and Pearl: Battle Dimension,episode,sinnoh,37
10558,It's Ghost Time After School!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,38
10559,The Final Showdown! Pokémon Triathlon!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,39
10560,"Return to the Basics, Team Rocket!",11,Diamond and Pearl: Battle Dimension,episode,sinnoh,40
10561,The Dancing Gym Leader! Fantina Appears!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,41
10562,Pachirisu's Fever! Care-taking by Two People!?,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,42
10563,Pokémon Contest! The Celestic Convention!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,43
10564,The Charge of Team Galactic!! (Part One),11,Diamond and Pearl: Battle Dimension,episode,sinnoh,44
10565,The Charge of Team Galactic!! (Part Two),11,Diamond and Pearl: Battle Dimension,episode,sinnoh,45
10566,The Unidfentified Floating Monster!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,46
10567,Elite Four Aaron! Forest of Seperate Encounters!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,47
10568,"Turtwig, Grotle...& Torterra!",11,Diamond and Pearl: Battle Dimension,episode,sinnoh,48
10569,Rival Trainer Barry Appears!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,49
10570,Hearthome Gym! VS Fantina!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,50
10571,Chaotic Melee At Canalave City!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,51
10572,Cresselia VS Darkrai!,11,Diamond and Pearl: Battle Dimension,episode,sinnoh,52
10573,Yokan & Rotom,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,1
10574,The Way To Befriend Pokémon!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,2
10575,Rampardos VS Bastiodon,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,3
10576,Canalave Gym! Steel Battle!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,4
10577,The Missing Child Wailmer,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,5
10578,Riley & Lucario!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,6
10579,The Hidden Ruins of Iron Island!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,7
10580,The Pikachu-Piplup Drifting Chronicle!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,8
10581,Mischief Phione!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,9
10582,Pokémon Contest! Akebi Convention!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,10
10583,The Wild Jenny & Her Partner Chatot!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,11
10584,Froslass In A Blizzard,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,12
10585,Team Rocket Breakup!?,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,13
10586,PokéRinger! Big Decisive Sky Battle!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,14
10587,Clash! Mamoswine VS Aggron!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,15
10588,Mysterious Creatures: Pokémon,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,16
10589,The Lonely Snover!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,17
10590,Evolution! This Time For Piplup!?,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,18
10591,Pokémon Contest! Tatsuami Convention!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,19
10592,Pokémon PingPong Competition! Ambipom Perseveres!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,20
10593,Cherubi! Brave Battle!?,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,21
10594,Teacher Candice of the Trainers' School!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,22
10595,Snowpoint Gym! Ice Battle!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,23
10596,Pyramid Battle! Brandon VS Paul!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,24
10597,Regigigas Resurrection! J Again!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,25
10598,Ampharos Train! Looker Appears!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,26
10599,Full Battle! Paul VS Ash! (Part One),12,Diamond and Pearl: Galactic Battles,episode,sinnoh,27
10600,Full Battle! Paul VS Ash! (Part Two),12,Diamond and Pearl: Galactic Battles,episode,sinnoh,28
10601,Uxie's Shadow!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,29
10602,King of the Forest! Tangrowth!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,30
10603,Everybody Participate! Pokemon Hustle!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,31
10604,Mt. Coronet Ruins! Team Galactic Conspiracy!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,32
10605,"Marill, Piplup & Elekid!",12,Diamond and Pearl: Galactic Battles,episode,sinnoh,33
10606,Dawn VS Mom! Showdown Between Parent & Child!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,34
10607,Rescue Professor Oak! Politoed VS Croagunk!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,35
10608,"Natu, Xatu...Mysterious Forest!",12,Diamond and Pearl: Galactic Battles,episode,sinnoh,36
10609,"Tower Tycoon! That Man, Palmer!",12,Diamond and Pearl: Galactic Battles,episode,sinnoh,37
10610,The Worst Togepi In History!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,38
10611,Johto Festa! Chikorita and Totodile Appear!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,39
10612,Dungeon Capture!? Valley Windworks!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,40
10613,Gible...Get!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,41
10614,Pokemon Contest! Suiren Convention!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,42
10615,Ash and Dawn! Tag Battle!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,43
10616,"Misdreavus, Murkrow & the Dusk Stone!",12,Diamond and Pearl: Galactic Battles,episode,sinnoh,44
10617,Pikachu & Piplup Keep Away!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,45
10618,The Red Chain! Team Galactic Start!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,46
10619,"Azelf, Uxie, Mesprit!",12,Diamond and Pearl: Galactic Battles,episode,sinnoh,47
10620,Dialga and Palkia! The Final Battle!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,48
10621,Full of Danger! James' Treasure Chest!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,49
10622,Air Battle Master Appears! Gliscor VS Scizor!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,50
10623,Double Battle! Mamoswine & Cyndaquil!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,51
10624,Gible & Draco Meteor,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,52
10625,Gible! Get It!!,12,Diamond and Pearl: Galactic Battles,episode,sinnoh,53
10626,Explosion! Magnezone vs Metagross!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,1
10627,Growling Ice Punch! Buizel VS Mr. Mime!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,2
10628,Get Fired Up Snorlax! Prince of Pokéthlon!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,3
10629,Pokemon Contest! Asatsuki Tournament!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,4
10630,Double Battle! VS Plusle & Minun!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,5
10631,Blast Evolution! Infernape!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,6
10632,Piplup Becomes Separated!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,7
10633,Elite Four Flint and Gym Leader Volkner!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,8
10634,Takeoff! Sunyshore Tower!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,9
10635,Beach Pokémon School!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,10
10636,Fly Shaymin! To the Far Side of the Sky!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,11
10637,Pokémon Ranger! Heatran Rescue Mission!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,12
10638,Elite Four Bertha! Hippowdon vs Torterra!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,13
10639,Dancing Togekiss! Pokemon Contest Princess!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,14
10640,Togekiss! The Battle Which it Becomes Magnificent!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,15
10641,Ditto - Transformation Battle,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,16
10642,Grand Festival! The Art of Flame & Ice!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,17
10643,Mamoswine & Pachirisu! The Ice Chandelier - Decisive Blow!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,18
10644,Semi-Final! Who is Heading to the Final!?,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,19
10645,Final! Dawn VS Zoey!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,20
10646,Goodbye Team Rocket! Meowth's Love!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,21
10647,Electric Shock Battle! The Final Badge!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,22
10648,Ash VS Kenny! Setting Sail for Each Destination,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,23
10649,Treasure Hunter - Buck & Claydol,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,24
10650,The Eve of the Fierce Fighting! The Big Gathering of Ash's Pokémon!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,25
10651,Opening! Sinnoh League - Suzuran Tournament!!,13,Diamond and Pearl: Sinnoh League Victors,episode,sinnoh,26
